media	url	client	reposts	comments	gender	follower	friend	statues	age	verified	desc	type	species
0	1	1	13	31	1	88765	2014	6742	989	1	1	-1	yes
1	0	2	45	42	0	81798	875	13379	994	1	1	-1	yes
1	0	1	15	18	0	493272	587	93968	1139	1	1	3	yes
1	0	1	12	1	1	211877	1769	46035	1334	1	1	3	yes
1	0	2	10	19	1	11688364	423	368151	872	1	1	3	yes
1	0	2	19	38	0	2279675	806	44627	1230	1	1	3	yes
1	1	1	65	28	0	172084	2001	18665	1388	1	1	3	yes
0	1	1	127	158	1	12252755	1884	77656	1413	1	1	3	yes
1	1	1	109	100	1	1533229	300	18309	1294	1	1	3	yes
1	0	1	155	241	0	1756558	327	16995	885	1	1	2	yes
0	1	1	47	57	1	256359	2001	17000	1407	1	1	2	yes
0	1	2	25	31	1	1811913	348	26384	680	1	1	0	yes
1	1	1	507	574	1	12215541	1358	89411	1438	1	1	3	yes
1	0	1	11	6	1	628462	1931	33670	1433	1	1	3	yes
1	0	1	32	42	0	102600	473	12102	923	1	1	2	yes
1	1	2	10	5	1	31444	1675	54156	988	1	1	-1	yes
1	1	1	12	10	1	45626	785	23543	1112	1	1	5	yes
1	1	1	491	516	1	2628339	422	66649	900	1	1	3	yes
1	0	1	49	60	1	283505	1647	9916	804	1	1	2	yes
0	1	1	21	12	1	102823	535	11931	1201	1	1	0	yes
1	1	1	113	63	1	718266	1019	64241	994	1	1	3	yes
0	1	1	25	21	1	34796	306	9238	798	1	1	5	yes
1	1	1	911	747	1	8083001	896	41909	1434	1	1	3	yes
0	1	1	93	119	1	142623	738	12002	1260	1	1	220	yes
0	1	1	35	31	0	185882	1180	2318	896	1	1	-1	yes
1	1	1	35	37	1	2205846	1109	38841	1322	1	1	3	yes
0	1	1	31	15	1	71012	2716	18959	715	1	1	220	yes
0	0	1	15	7	0	1031647	732	33247	942	1	1	3	yes
1	1	2	113	105	0	2047379	1397	9633	1437	1	1	3	yes
1	1	2	54	85	1	410529	335	9156	1125	1	1	3	yes
0	1	1	15	24	1	29375	1529	6105	1090	1	1	3	yes
1	1	1	238	151	1	2603642	911	67691	865	1	1	3	yes
1	1	1	22	23	1	1789102	1105	25147	873	1	1	3	yes
0	1	2	32	20	1	527784	412	18966	1437	1	1	-1	yes
0	1	1	43	35	1	527784	412	18966	1240	1	1	-1	yes
1	0	2	3253	1095	1	17354232	598	48096	1040	1	1	0	yes
1	0	1	2309	1876	1	11491578	1483	87214	1438	1	1	3	yes
0	0	1	15	14	1	56	50	260	989	1	0	-1	yes
1	1	1	13	13	1	58	50	78	540	1	0	-1	yes
0	1	1	13	11	1	36	31	45	476	1	1	-1	yes
1	1	2	23	5	0	2309	903	355	1000	1	1	-1	yes
1	1	2	49	7	1	244	198	2939	631	1	0	-1	yes
1	0	1	21	5	1	5201	2163	15505	642	1	1	-1	yes
0	1	1	12	5	1	3831	1526	21919	383	1	1	220	yes
0	1	2	36	22	1	8285	2000	9829	385	1	1	0	yes
0	1	2	18	5	1	8285	2000	9829	385	1	1	0	yes
1	0	1	15	0	1	1673	535	194	417	1	1	-1	yes
1	0	1	35	11	1	3897	339	821	82	1	1	-1	yes
1	0	1	44	17	0	887394	1637	27112	9	1	1	3	yes
1	0	1	38	21	1	131380	2000	58867	601	1	1	0	yes
1	0	1	171	41	1	711807	1466	26447	68	1	1	2	yes
1	0	1	69	25	1	89450	731	7253	293	1	1	0	yes
1	0	1	18	10	1	140623	3000	55312	373	1	1	0	yes
1	0	1	21	15	1	140623	3000	55312	373	1	1	0	yes
1	0	1	17	9	0	2254535	612	57223	540	1	1	3	yes
1	0	2	240	98	1	11495567	1483	87221	600	1	1	3	yes
1	1	1	360	139	1	13877108	1722	84535	600	1	1	3	yes
1	1	1	10	5	1	141208	650	24961	194	1	1	3	yes
1	0	1	49	29	0	573606	1923	58213	476	1	1	3	yes
1	1	1	177	63	1	180409	1339	9105	568	1	1	5	yes
1	0	1	49	13	1	65076	857	5802	94	1	1	-1	yes
1	0	1	10	2	1	5202	754	2856	151	1	1	-1	yes
1	0	1	16	14	1	6085	930	6621	599	1	1	0	yes
1	0	1	12	14	0	56769	69	7073	138	1	1	2	yes
1	0	1	11	11	1	6329	1070	3635	320	1	1	0	yes
1	0	1	17	5	1	4536165	938	60434	570	1	1	3	yes
1	0	1	11	10	1	208761	664	42865	372	1	1	3	yes
1	0	2	10	8	1	16953	147	4561	535	1	0	-1	yes
1	0	2	11	27	1	28620	123	822	1269	1	1	0	yes
0	0	2	19	15	0	159	133	241	482	1	0	-1	yes
0	0	2	30	4	1	230	175	103	443	1	0	-1	yes
0	0	2	19	14	1	152	140	238	481	1	0	-1	yes
0	0	2	19	0	1	117	261	179	348	1	0	-1	yes
1	0	2	100	37	1	2170	1971	8809	109	1	1	220	yes
1	0	1	43	25	0	60160	971	2957	253	1	1	220	yes
0	1	2	43	25	0	2231	1454	25920	105	1	1	-1	yes
1	0	1	20	21	1	1209346	2887	17295	84	1	1	0	yes
0	1	1	43	23	1	180413	1339	9106	822	1	1	5	yes
1	1	1	16	8	1	878322	1673	34085	827	1	1	3	yes
0	1	1	24	12	1	2256341	647	31579	308	1	1	3	yes
1	1	1	85	35	1	8091868	898	41931	850	1	1	3	yes
1	0	1	480	135	1	12221565	1359	89454	852	1	1	3	yes
1	1	2	10	2	1	11713917	423	368453	1363	1	1	3	yes
1	1	1	44	3	1	5903402	485	56532	1930	1	1	3	yes
1	1	2	29	6	1	638173	1009	83385	1447	1	1	2	yes
1	0	2	26	0	1	462	904	1629	232	1	0	-1	yes
1	1	2	15	8	1	126624	55	3524	224	1	0	1	yes
1	1	1	41	4	1	621663	1814	86010	1248	1	1	3	yes
0	1	1	42	9	1	347894	1002	35494	1520	1	1	3	yes
1	1	1	42	7	1	1326475	438	8988	1380	1	1	3	yes
1	0	2	23	13	1	504511	296	13424	1118	1	1	2	yes
1	1	1	110	39	1	12221650	1359	89455	1610	1	1	3	yes
1	1	1	69	21	1	12268661	1884	77702	1584	1	1	3	yes
1	1	1	12	3	1	621664	1814	86010	1246	1	1	3	yes
1	0	2	237	171	1	28429733	564	40358	551	1	1	3	yes
1	1	1	63	7	1	1669580	717	33552	1472	1	1	3	yes
0	1	1	19	4	1	73491	78	14256	1098	1	1	5	yes
1	0	2	30	9	1	3955323	445	62152	1502	1	1	3	yes
0	0	2	35	19	0	427013	311	7470	1401	1	1	220	yes
1	1	2	18	2	0	8712247	768	55576	1548	1	1	3	yes
1	0	1	11	6	1	211007	217	31585	1474	1	1	3	yes
1	1	1	136	38	1	1663668	390	24667	1599	1	1	3	yes
1	1	1	17	9	0	693336	505	45505	1393	1	1	3	yes
0	0	1	20	6	0	269813	1178	23595	1010	1	1	3	yes
1	0	2	137	34	1	238510	987	23767	1186	1	1	3	yes
0	1	2	109	34	1	1319711	944	32176	1330	1	1	3	yes
1	1	1	471	104	1	4512740	403	22774	1421	1	1	3	yes
0	0	1	16	6	1	675250	182	24014	1113	1	1	3	yes
1	1	2	36	4	1	156138	1948	5061	1555	1	1	-1	yes
0	1	1	719	167	1	12221664	1359	89455	1609	1	1	3	yes
1	0	1	161	44	1	12268683	1884	77702	989	1	1	3	yes
1	1	1	113	33	1	7521155	504	31006	918	1	1	3	yes
1	1	1	10	1	1	39	223	117	26	1	1	-1	yes
0	0	2	13	5	1	22720	351	2018	1420	1	0	-1	yes
1	0	1	119	36	1	71351	344	3348	432	1	1	-1	yes
1	0	1	10	3	1	9153	472	21751	1280	1	1	1	yes
1	0	1	12	5	1	256285	842	29345	1624	1	1	3	yes
1	0	1	70	91	0	2290917	788	1853	933	1	1	0	yes
1	0	1	10	0	0	11014	144	5245	209	1	1	-1	yes
1	0	2	50	22	1	232637	2484	25911	1310	1	1	0	yes
1	0	2	25	22	1	293338	2815	8408	1197	1	1	0	yes
1	0	2	26	14	1	1812750	2408	30928	1154	1	1	-1	yes
1	0	2	28	6	1	530141	2387	9025	1353	1	1	220	yes
1	0	1	85	40	1	1244247	453	5096	1404	1	1	0	yes
1	0	1	14	3	1	929837	1879	8582	1402	1	1	-1	yes
1	0	1	19	3	1	1410024	1614	10063	774	1	1	220	yes
1	0	1	110	16	0	809287	785	15276	1359	1	1	-1	yes
1	0	1	38	3	1	17886	1991	8942	1127	1	1	220	yes
0	0	2	42	315	1	21933	1040	3932	1029	1	1	0	yes
0	0	2	14	5	1	29037	1275	11129	1329	1	1	5	yes
1	0	2	66	13	1	2270431	793	17649	872	1	1	0	yes
1	0	2	16	3	0	25564	1796	3177	1167	1	1	0	yes
0	0	1	26	36	1	935	403	977	1141	1	1	-1	yes
0	1	2	41	12	1	120123	139	1023	1403	1	1	0	yes
1	0	2	99	22	0	1142669	1780	17242	1188	1	1	-1	yes
1	0	2	31	11	0	1950502	1075	29427	1415	1	1	3	yes
1	0	1	79	17	1	560220	534	12772	727	1	1	3	yes
1	0	1	12	8	1	63735	470	6635	939	1	1	4	yes
1	0	1	137	57	1	2015069	584	43251	1222	1	1	3	yes
1	0	2	15	2	1	279635	961	18992	1204	1	1	0	yes
1	0	1	13	4	1	14607	826	18793	1187	1	1	3	yes
1	0	1	222	38	0	1215707	937	15490	1675	1	1	220	yes
1	0	1	40	23	0	529606	425	40473	1339	1	1	3	yes
1	0	1	29	12	1	403609	946	22601	1392	1	1	3	yes
1	0	1	19	11	1	416471	877	44836	1372	1	1	3	yes
1	0	1	32	10	1	1075457	152	23802	572	1	1	3	yes
1	0	1	147	20	0	330550	2543	12243	857	1	1	-1	yes
1	0	2	29	11	1	254509	2216	24879	1520	1	1	0	yes
1	0	1	22	10	1	43630	1220	6407	724	1	1	220	yes
1	0	2	14	10	0	39619	1365	6174	1277	1	1	-1	yes
1	0	1	26	4	1	126917	694	10281	1232	1	1	5	yes
1	1	1	11	7	1	17418	190	48862	1118	1	1	3	yes
1	0	2	22	6	0	212196	2166	12379	859	1	1	-1	yes
1	0	2	38	7	0	211175	2906	11338	859	1	1	-1	yes
1	0	2	15	8	1	192731	1982	11738	1186	1	1	-1	yes
1	0	1	48	26	0	546103	2990	22519	1342	1	1	0	yes
1	0	2	35	7	0	439693	1869	14213	858	1	1	-1	yes
1	0	2	12	11	1	100984	391	17828	1085	1	1	1	yes
1	0	2	19	6	0	255461	1010	3566	593	1	1	5	yes
1	0	1	56	31	1	294127	751	34975	1427	1	1	3	yes
1	0	2	20	7	1	1882238	261	64208	1322	1	1	3	yes
1	0	1	57	17	1	222918	1847	20494	1098	1	1	2	yes
1	1	1	26	9	1	13011316	426	376980	1220	1	1	3	yes
1	0	2	19	3	0	239	182	1069	682	1	0	220	yes
1	1	2	17	0	0	1128	170	558	12	1	1	-1	yes
1	0	1	29	6	1	504117	1994	2422	1577	1	1	0	yes
1	0	1	72	21	1	242904	35	5541	1385	1	1	-1	yes
1	0	2	23	2	0	5777	168	31709	1327	1	1	220	yes
1	0	2	26	44	0	53400	230	3803	1536	1	1	0	yes
1	0	1	417	122	0	9876266	772	56851	1725	1	1	3	yes
